Id,Hotel Name,Address,City State,Registration Date,Last Booking,Total Bookings,Registration Id
716,"Hammes, Donnelly and Marks",110 Lunder Circle,Brasilia - DF,2021-02-26,2021-04-27,597,889735994108
717,"Cummerata, Trantow and Herman",166 Muir Parkway,Santos - SP,2021-02-26,2021-10-22,779,372487457999
718,Klocko-Torphy,2651 South Road,Santos - SP,2021-02-26,2021-07-02,205,185663894901
719,Wintheiser-Miller,477 Bluejay Court,São Paulo - SP,2021-02-26,2021-06-04,26,688792305571
720,Jacobson-Bernhard,02317 Haas Place,São Paulo - SP,2021-02-27,2022-10-19,686,335494416346
721,Huels-Robel,99920 Little Fleur Trail,Brasilia - DF,2021-02-27,2022-04-15,172,201099748123
722,Wilkinson-Maggio,185 Sachtjen Lane,Rio de Janeiro - RJ,2021-02-27,2021-05-20,622,710900072970
723,Doyle-Zemlak,061 Scofield Terrace,Porto Alegre - RS,2021-02-27,2021-10-16,297,713674961207
724,Wunsch Inc,08137 Boyd Road,Brasilia - DF,2021-02-27,2021-12-23,527,205098079420
725,Gleason Inc,9 Ohio Plaza,São Paulo - SP,2021-02-28,2021-03-11,619,269279986514
726,Dach-Wuckert,11 Prairieview Lane,Rio de Janeiro - RJ,2021-02-28,2021-06-11,177,681521405697
727,Cronin-McLaughlin,41515 Dahle Plaza,Brasilia - DF,2021-02-28,2021-10-25,201,444413521556
728,"Bartoletti, Torphy and Hirthe",59071 Packers Way,Florianópolis - SC,2021-02-28,2021-08-22,604,672477769763
729,"Mertz, Kunde and Kling",1477 Mariners Cove Parkway,Santos - SP,2021-02-28,2021-10-11,645,290002742418
730,Johnston LLC,601 Mendota Parkway,Brasilia - DF,2021-02-28,2021-06-12,206,624594148464
731,Bogisich-Terry,173 Springs Alley,Rio de Janeiro - RJ,2021-02-28,2021-09-22,509,289341157950
732,"Jast, Borer and Smitham",4 Miller Park,Santos - SP,2021-03-01,2022-08-12,360,210391301936
733,"Mohr, Crooks and Becker",597 Dwight Drive,Santos - SP,2021-03-01,2021-12-07,631,630770840601
734,Boyle Group,05 Vidon Street,Florianópolis - SC,2021-03-01,2021-10-18,163,273079352859
735,"Harber, Klein and Schowalter",75 Dayton Circle,Brasilia - DF,2021-03-01,2021-09-29,439,250105173887
736,Block Group,16763 Wayridge Center,Brasilia - DF,2021-03-02,2021-06-19,435,288348477117
737,Pfannerstill-Langosh,69 Nova Avenue,Porto Alegre - RS,2021-03-02,2021-10-23,658,814534294492
738,"Stracke, Spinka and Mante",73480 Mitchell Junction,Santos - SP,2021-03-02,2021-09-23,223,566287285115
739,Sawayn-Goyette,2 Dawn Pass,Porto Alegre - RS,2021-03-02,2021-08-17,295,274892604859
740,Kunze-Schultz,73039 Farwell Way,Rio de Janeiro - RJ,2021-03-02,2021-08-20,66,441038674047
741,"Flatley, Daniel and Prohaska",702 Schlimgen Trail,Porto Alegre - RS,2021-03-02,2021-09-24,566,581306261767
742,Jones-Klocko,02721 Lillian Drive,Fortaleza - CE,2021-03-02,2021-11-27,755,646553090289
743,Schumm Group,6232 Lyons Trail,Fortaleza - CE,2021-03-03,2021-05-12,389,750329246291
744,Cummerata-Harber,72 Surrey Alley,Santos - SP,2021-03-03,2021-11-04,81,360581888522
745,Ratke-Hills,076 Leroy Alley,Fortaleza - CE,2021-03-03,2021-09-02,751,801846287280
746,"Breitenberg, Halvorson and Walter",52 Jana Pass,Santos - SP,2021-03-03,2021-06-28,454,570789687044
747,Cummings and Sons,03 Mallory Crossing,Porto Alegre - RS,2021-03-03,2021-08-08,97,453069954666
748,Dietrich-Cruickshank,3 Kedzie Place,Florianópolis - SC,2021-03-03,2021-10-13,295,242343448508
749,"Hand, Koch and Turner",6136 Butternut Circle,Florianópolis - SC,2021-03-03,2021-07-08,183,421837106357
750,Purdy-Cronin,49 Shopko Avenue,Santos - SP,2021-03-04,2021-04-17,64,366180113473
751,"Stehr, Nicolas and Prohaska",04382 Basil Avenue,Porto Alegre - RS,2021-03-04,2021-06-01,220,212005162141
752,"Mosciski, Kuhlman and Bogisich",9963 Reindahl Center,Florianópolis - SC,2021-03-04,2021-11-06,128,648293551424
753,"Tromp, Corkery and Mohr",5906 Dayton Lane,Fortaleza - CE,2021-03-04,2021-11-17,744,619986835682
754,Nitzsche and Sons,978 Meadow Vale Plaza,São Paulo - SP,2021-03-05,2022-03-25,425,716798536334
755,Hackett-Wilkinson,1707 Independence Terrace,Brasilia - DF,2021-03-05,2022-09-05,558,501116874135
756,Grady LLC,77 Mendota Road,Brasilia - DF,2021-03-05,2021-10-25,681,376189623074
757,Lubowitz-Wuckert,1 John Wall Avenue,São Paulo - SP,2021-03-05,2021-05-12,378,405666810855
758,"Schaden, Trantow and O'Connell",06 Monica Park,São Paulo - SP,2021-03-05,2021-09-07,766,712189815845
759,Sanford-Heathcote,24411 Rockefeller Lane,Santos - SP,2021-03-05,2022-01-02,521,584115534284
760,Greenfelder Group,58498 Veith Terrace,Florianópolis - SC,2021-03-06,2022-11-10,746,540293144431
761,Grimes-Beer,970 Mendota Pass,Brasilia - DF,2021-03-06,2021-09-12,135,680297546551
762,Huel-Corwin,988 Troy Drive,Santos - SP,2021-03-06,2021-12-02,79,346647366014
763,"Bauch, Price and Cummings",50372 Lillian Junction,São Paulo - SP,2021-03-06,2021-05-03,117,229207726605
764,"Waelchi, Reilly and Marks",80 Amoth Place,Florianópolis - SC,2021-03-07,2022-05-14,758,500359728211
765,Skiles-Roob,34465 Fulton Way,Santos - SP,2021-03-07,2021-07-12,120,781769781159
766,Lesch Group,0 Atwood Circle,Porto Alegre - RS,2021-03-07,2021-06-11,666,482737853076
767,Lockman LLC,233 Meadow Valley Lane,Santos - SP,2021-03-08,2021-11-20,614,735814522913
768,Gutkowski-McGlynn,4 Northwestern Pass,Florianópolis - SC,2021-03-08,2021-06-27,665,709629024243
769,"McKenzie, Murphy and Ziemann",73518 Milwaukee Drive,São Paulo - SP,2021-03-08,2021-10-20,74,294193702401
770,Tremblay Inc,5 Vahlen Road,Rio de Janeiro - RJ,2021-03-08,2021-09-17,391,459969760817
771,Hoeger-Jerde,05 Westridge Parkway,Brasilia - DF,2021-03-09,2022-03-09,635,461858352712
772,Marvin-Hickle,3 Mayfield Plaza,Brasilia - DF,2021-03-09,2021-07-21,336,439771271963
773,Reinger Inc,94 Kennedy Trail,Porto Alegre - RS,2021-03-09,2021-12-11,190,566540912634
774,Littel Inc,516 Buena Vista Terrace,Fortaleza - CE,2021-03-09,2021-05-25,22,605245104687
775,"Wolf, Kunde and Rogahn",5 Corscot Trail,Rio de Janeiro - RJ,2021-03-09,2021-09-22,102,159323997099
776,"Sporer, Altenwerth and Mitchell",978 Prairie Rose Plaza,Porto Alegre - RS,2021-03-09,2021-05-03,208,641080729985
777,Kuhn Group,00 Brickson Park Terrace,Florianópolis - SC,2021-03-10,2022-02-17,788,896330310297
778,Oberbrunner Group,292 Shelley Circle,Santos - SP,2021-03-10,2021-07-28,482,247323324377
779,"Strosin, Franecki and Kerluke",9694 Kings Drive,Fortaleza - CE,2021-03-10,2021-10-07,449,488586152523
780,Morar LLC,98545 Marquette Plaza,Porto Alegre - RS,2021-03-11,2021-11-10,270,751809985879
781,"Yost, Halvorson and Mohr",1 Rutledge Circle,Rio de Janeiro - RJ,2021-03-11,2021-09-27,323,520137810038
782,Deckow-Lockman,5 Holy Cross Terrace,Santos - SP,2021-03-12,2022-01-17,317,550713796638
783,"Schneider, Crooks and Block",9 Bashford Trail,Rio de Janeiro - RJ,2021-03-12,2021-05-02,704,806689103029
784,"Harvey, Bode and Von",625 Steensland Lane,Fortaleza - CE,2021-03-13,2022-04-29,804,663948454242
785,Waelchi-Stiedemann,0592 High Crossing Court,Porto Alegre - RS,2021-03-13,2021-07-05,205,651754551898
786,"Morar, Hoppe and O'Reilly",624 Westridge Park,São Paulo - SP,2021-03-13,2021-05-06,661,772984210631
787,Schiller Inc,28 Farmco Junction,Santos - SP,2021-03-13,2022-01-07,540,816192347423
788,Flatley-Labadie,88335 Buell Hill,Rio de Janeiro - RJ,2021-03-13,2021-11-14,659,455742318453
789,Borer Group,503 Crest Line Alley,Fortaleza - CE,2021-03-13,2021-10-06,102,628036361902
790,Cummerata Inc,16964 David Terrace,São Paulo - SP,2021-03-14,2022-08-31,62,358938718971
791,"Spencer, Marks and Abernathy",15 Onsgard Circle,Fortaleza - CE,2021-03-14,2022-04-19,388,922540035692
792,Kiehn-Beatty,9 Lakeland Parkway,Porto Alegre - RS,2021-03-14,2021-12-11,185,319917288347
793,Stamm-Cruickshank,46241 Fieldstone Street,Fortaleza - CE,2021-03-14,2021-11-07,573,292545589002
794,Lynch-Hudson,37 Stone Corner Center,Rio de Janeiro - RJ,2021-03-14,2021-12-29,186,738432298859
795,Morissette Inc,77 Del Mar Hill,Santos - SP,2021-03-14,2021-11-02,120,780181448595
796,Oberbrunner-Bahringer,55461 Donald Road,Santos - SP,2021-03-14,2021-08-28,596,386900639912
797,"Tillman, Abbott and Steuber",033 Melby Pass,Porto Alegre - RS,2021-03-15,2021-09-05,384,511987920488
798,Bergnaum-Hartmann,808 Dennis Center,Florianópolis - SC,2021-03-15,2021-12-22,335,524201941431
799,McCullough-Hoeger,32 Lyons Park,São Paulo - SP,2021-03-16,2022-09-01,624,608802468393
800,Ritchie and Sons,4266 Vahlen Park,São Paulo - SP,2021-03-16,2022-02-02,167,831892891985
801,Berge and Sons,66556 Shopko Court,Porto Alegre - RS,2021-03-16,2021-05-10,232,447033688484
802,Satterfield LLC,5 Raven Road,Florianópolis - SC,2021-03-16,2021-06-19,780,545498443525
803,Bednar-Lakin,20868 Blackbird Circle,Santos - SP,2021-03-16,2021-10-13,442,587399628699
804,"Ullrich, Brown and Hintz",091 Onsgard Place,Santos - SP,2021-03-16,2021-10-09,577,239998697650
805,Mante-Johns,80842 Talisman Crossing,Brasilia - DF,2021-03-16,2021-06-12,725,481951571342
806,Howe Group,574 Sullivan Point,Fortaleza - CE,2021-03-17,2021-10-11,55,592848393085
807,Rempel and Sons,5 Golf View Place,Santos - SP,2021-03-17,2021-06-12,574,357833759022
808,Wiza LLC,646 Kings Drive,Florianópolis - SC,2021-03-17,2021-08-10,626,560449472508
809,Nikolaus-Rosenbaum,34 Scofield Park,Fortaleza - CE,2021-03-17,2021-10-15,786,922583374625
810,Carroll Group,47 Magdeline Avenue,Rio de Janeiro - RJ,2021-03-17,2021-07-24,37,776862829521
811,Beer-Maggio,87551 Maple Wood Crossing,Santos - SP,2021-03-17,2021-11-23,360,639191222229
812,Bergstrom Inc,182 Crowley Point,Santos - SP,2021-03-17,2021-09-23,100,510030466755
813,"Steuber, Franecki and Walter",990 Talmadge Place,Santos - SP,2021-03-17,2021-05-08,305,875789830799
814,Emmerich LLC,00 Summit Pass,Fortaleza - CE,2021-03-18,2022-05-18,858,881590858582
815,Effertz-Crona,8902 1st Parkway,Porto Alegre - RS,2021-03-18,2021-08-13,335,910454270221
816,Parisian-McDermott,2 Derek Way,Santos - SP,2021-03-18,2021-06-30,619,222831073480
817,"Blick, Kuhn and Lockman",6226 Farwell Hill,Rio de Janeiro - RJ,2021-03-18,2021-10-02,223,915204972765
818,"Abbott, Kassulke and Howe",55456 Quincy Court,Florianópolis - SC,2021-03-18,2021-05-31,173,468668842757
819,Ward-Brekke,6 Bartillon Way,Santos - SP,2021-03-19,2021-04-27,556,197245191355
820,Prosacco and Sons,7178 Mallard Plaza,Fortaleza - CE,2021-03-19,2021-11-24,484,528841922025
821,Champlin-Boyer,437 Lakeland Way,Brasilia - DF,2021-03-19,2021-05-17,351,334785372555
822,"Maggio, Gerhold and Ryan",0 Florence Park,Brasilia - DF,2021-03-19,2021-10-22,736,348163392836
823,Nikolaus-Huels,2 Sachs Alley,São Paulo - SP,2021-03-20,2021-08-17,639,656056842625
824,"Metz, McGlynn and Larkin",470 Dorton Plaza,Florianópolis - SC,2021-03-20,2021-11-06,544,292606045258
825,Kirlin-Schaefer,7876 Pawling Center,Rio de Janeiro - RJ,2021-03-20,2021-11-26,92,682708460491
826,Hudson Group,03312 Killdeer Road,Brasilia - DF,2021-03-20,2021-11-27,309,243707626673
827,Bednar and Sons,0 Hoffman Court,Fortaleza - CE,2021-03-20,2021-12-22,173,440029603330
828,"Waelchi, Gutmann and Stehr",28793 Summit Court,Santos - SP,2021-03-20,2021-06-04,377,722469836988
829,"Larkin, Nader and Zemlak",79 Fallview Park,Rio de Janeiro - RJ,2021-03-21,2022-07-31,313,434930566092
830,"Prohaska, Brekke and Runolfsdottir",59 Heffernan Alley,Santos - SP,2021-03-21,2022-03-24,167,511234700085
831,"Schaden, Berge and Mitchell",58 Derek Junction,Rio de Janeiro - RJ,2021-03-21,2021-12-16,450,917672724203
832,"Nader, Kub and Graham",4289 Grasskamp Park,Florianópolis - SC,2021-03-21,2021-05-12,503,156235192258
833,"Metz, Heaney and Johns",507 Scofield Street,Brasilia - DF,2021-03-21,2021-11-07,399,809105816405
834,Morar and Sons,694 Merchant Place,Rio de Janeiro - RJ,2021-03-22,2021-12-23,821,679321934364
835,"Ledner, Okuneva and Quigley",243 Barnett Way,Santos - SP,2021-03-22,2021-06-01,48,694408158929
836,Becker LLC,8 Prentice Junction,Rio de Janeiro - RJ,2021-03-23,2021-08-30,760,152663496176
837,Borer Inc,530 2nd Way,Santos - SP,2021-03-23,2021-10-01,685,711599834952
838,Grimes-Weissnat,28686 Bayside Center,Fortaleza - CE,2021-03-23,2021-11-04,775,395069166224
839,"Aufderhar, Stanton and Kemmer",032 Glacier Hill Terrace,Brasilia - DF,2021-03-23,2021-06-10,6,600287025499
840,Little Inc,55 Main Point,Porto Alegre - RS,2021-03-23,2021-12-06,326,607588161724
841,"Champlin, Ziemann and Grimes",2 Surrey Avenue,Porto Alegre - RS,2021-03-23,2021-10-14,628,900277037970
842,Leannon Group,09 Farwell Trail,Brasilia - DF,2021-03-24,2021-05-28,310,362928099277
843,Lubowitz-Waters,3240 Forest Plaza,Porto Alegre - RS,2021-03-24,2021-06-26,639,424452596661
844,Ullrich-Ankunding,77 Tennessee Drive,Fortaleza - CE,2021-03-24,2021-06-14,131,243561955130
845,McDermott-Harvey,07157 Elmside Way,Santos - SP,2021-03-25,2022-01-28,488,220544799534
846,"O'Hara, Morissette and Kulas",7 Buena Vista Road,Brasilia - DF,2021-03-25,2022-07-20,706,578892839516
847,Gislason LLC,26053 Grayhawk Place,São Paulo - SP,2021-03-26,2021-09-18,378,925407619796
848,"Effertz, Williamson and Emard",098 Schurz Plaza,Brasilia - DF,2021-03-26,2021-07-09,80,807589781816
849,Balistreri-Waelchi,00 Nevada Trail,Porto Alegre - RS,2021-03-27,2022-03-01,448,637677381228
850,Vandervort-Kub,896 Manley Way,Santos - SP,2021-03-27,2022-10-07,857,457356062731
851,Tillman Group,58736 Towne Junction,Rio de Janeiro - RJ,2021-03-27,2022-01-21,671,283115278766
852,"Walter, Carter and Gerhold",597 Fairfield Parkway,Brasilia - DF,2021-03-27,2021-06-24,322,449225199868
853,"Heidenreich, Stark and Schumm",3 Utah Park,Fortaleza - CE,2021-03-27,2021-08-31,144,530378705449
854,"Kuphal, Rutherford and Reichert",67887 Clyde Gallagher Center,Santos - SP,2021-03-27,2022-01-05,591,879936167772
855,"Zulauf, Thiel and Effertz",710 Butterfield Hill,Porto Alegre - RS,2021-03-28,2021-12-04,609,569731709074
856,Larkin-Borer,786 Farragut Hill,São Paulo - SP,2021-03-28,2022-10-20,354,504568280884
857,"Hackett, Koelpin and Marvin",34629 Carberry Trail,Fortaleza - CE,2021-03-28,2022-05-11,812,607053922895
858,Carroll-Daniel,97588 Mariners Cove Alley,Brasilia - DF,2021-03-28,2021-05-09,722,802159119046
859,"Parisian, Haley and O'Keefe",7 Coleman Place,Rio de Janeiro - RJ,2021-03-28,2021-06-02,22,582998174807
860,Yost LLC,978 Talmadge Pass,Fortaleza - CE,2021-03-28,2021-12-25,691,384839634311
861,"Renner, Heidenreich and Klein",9238 Bluestem Court,Santos - SP,2021-03-28,2021-05-19,597,481671166829
862,"Wehner, Abbott and Considine",322 Gerald Park,Florianópolis - SC,2021-03-29,2021-06-19,623,889390332267
863,Konopelski-Kutch,7 Kingsford Parkway,Rio de Janeiro - RJ,2021-03-29,2022-07-01,8,496701678496
864,Reichel LLC,57 Northland Center,Fortaleza - CE,2021-03-29,2022-08-17,355,220526353206
865,Corwin Inc,7 Calypso Hill,Florianópolis - SC,2021-03-29,2021-12-18,183,757982543794
866,West LLC,292 Coolidge Way,Porto Alegre - RS,2021-03-29,2022-01-10,349,811625928906
867,Klocko Inc,70445 Burning Wood Way,Fortaleza - CE,2021-03-30,2021-09-06,588,615861044182
868,Bogan Group,87 Utah Lane,São Paulo - SP,2021-03-30,2022-01-13,200,238839886113
869,"VonRueden, Toy and Ferry",505 Milwaukee Drive,Brasilia - DF,2021-03-30,2021-06-15,716,825827713714
870,Mayert and Sons,8 Maple Parkway,Fortaleza - CE,2021-03-31,2022-11-18,602,717063387223
871,Larson-Satterfield,2 Glendale Point,Porto Alegre - RS,2021-03-31,2023-02-28,402,386960268884
872,Kiehn-Kutch,724 Karstens Avenue,Florianópolis - SC,2021-03-31,2021-10-30,38,454813064615
873,Rath-Koss,1924 Dapin Circle,Rio de Janeiro - RJ,2021-04-01,2021-06-12,725,294527803764
874,Reinger-Hayes,208 Spenser Avenue,Brasilia - DF,2021-04-01,2021-11-15,543,618615728992
875,Weissnat-Hickle,44 Forest Place,Brasilia - DF,2021-04-01,2021-11-26,455,713319478244
876,"Bins, Auer and Lehner",81 Rowland Point,Porto Alegre - RS,2021-04-01,2022-03-30,777,690344121839
877,"McClure, Wyman and Abshire",37 Morning Park,Brasilia - DF,2021-04-01,2021-08-24,566,934915178737
878,Okuneva-Volkman,2 1st Way,Porto Alegre - RS,2021-04-01,2021-05-27,772,702217416764
879,Pollich LLC,53835 Village Green Street,São Paulo - SP,2021-04-01,2021-10-21,676,415233526153
880,Lockman Inc,07 Mitchell Terrace,Rio de Janeiro - RJ,2021-04-01,2021-10-10,780,583792760883
881,Koss Inc,5771 Rusk Pass,Porto Alegre - RS,2021-04-02,2021-04-04,621,897042212521
882,Kreiger-Weissnat,91347 Farwell Circle,Santos - SP,2021-04-02,2021-12-31,643,761810786210
883,"Leannon, Schinner and Cummerata",041 Lyons Crossing,São Paulo - SP,2021-04-02,2021-12-01,179,465250088098
884,Schmitt and Sons,8 Nelson Street,São Paulo - SP,2021-04-02,2021-12-07,565,849333311019
885,"Bartoletti, Hills and Kuhn",453 Northland Trail,Fortaleza - CE,2021-04-03,2021-12-01,379,573636086660
886,Bailey and Sons,4 Bellgrove Point,Fortaleza - CE,2021-04-03,2021-07-02,69,251385586042
887,"Schumm, Hartmann and Aufderhar",91597 Trailsway Alley,São Paulo - SP,2021-04-03,2021-07-02,737,612621438789
888,Schneider Inc,64115 8th Park,Fortaleza - CE,2021-04-04,2022-04-26,430,379366019378
889,Bins-Windler,27865 La Follette Plaza,Brasilia - DF,2021-04-04,2022-05-09,488,826526618051
890,Williamson Group,8290 Springs Pass,Rio de Janeiro - RJ,2021-04-04,2021-05-13,193,306576724283
891,"Ryan, Thompson and Pacocha",84 Vermont Alley,Brasilia - DF,2021-04-04,2021-05-24,452,920274384213
892,Gleichner Inc,61862 Ridgeway Circle,São Paulo - SP,2021-04-04,2021-10-20,702,732283034403
893,Leannon LLC,34298 Anniversary Lane,Santos - SP,2021-04-05,2022-02-15,91,213407147335
894,"Towne, Graham and Schmidt",75765 Tennessee Parkway,São Paulo - SP,2021-04-05,2021-08-08,423,889095252577
895,"Bechtelar, Schiller and Macejkovic",304 Orin Alley,Rio de Janeiro - RJ,2021-04-05,2021-09-27,131,836700677099
896,Kling-Reichel,00835 Monument Parkway,São Paulo - SP,2021-04-05,2021-09-04,94,888213335508
897,"Kihn, Lockman and Emard",07 Debra Junction,Rio de Janeiro - RJ,2021-04-05,2021-09-16,389,676048183217
898,Conn Group,75375 Lawn Junction,Santos - SP,2021-04-05,2021-09-11,368,611878965034
899,Strosin and Sons,57 Kennedy Road,Rio de Janeiro - RJ,2021-04-05,2021-12-02,764,233337090692
900,Ruecker Group,87032 Warner Street,Brasilia - DF,2021-04-05,2021-11-23,378,884817334505
901,Bauch-Mraz,709 Ramsey Court,Rio de Janeiro - RJ,2021-04-05,2021-05-09,445,830884456209
902,Rempel-Cummings,21 Badeau Terrace,São Paulo - SP,2021-04-06,2022-05-26,750,671039199285
903,"Davis, Schulist and Hilll",66629 Garrison Hill,Brasilia - DF,2021-04-06,2022-05-08,133,757207391499
904,Gorczany Inc,44000 Brown Way,Florianópolis - SC,2021-04-06,2021-08-02,57,862802994998
905,Reichel-Goyette,640 Pierstorff Crossing,Rio de Janeiro - RJ,2021-04-06,2021-06-20,588,939744321174
906,Mueller and Sons,02 Bowman Crossing,Florianópolis - SC,2021-04-06,2021-10-03,472,494246828239
907,Gibson LLC,852 Thompson Hill,Brasilia - DF,2021-04-06,2021-09-04,329,299100273597
908,"Zemlak, Maggio and Shields",1104 Sloan Parkway,Brasilia - DF,2021-04-07,2021-06-18,399,655051840987
909,"Spencer, Senger and Dare",2837 Hazelcrest Park,Brasilia - DF,2021-04-07,2021-11-09,87,177165887845
910,Lindgren-Orn,52049 Butternut Point,São Paulo - SP,2021-04-07,2021-10-11,178,355110370868
911,"Weissnat, Boyer and Bins",330 Nova Point,Santos - SP,2021-04-08,2021-09-14,340,695686730604
912,Hoeger LLC,68 Paget Way,São Paulo - SP,2021-04-08,2021-09-05,709,519574518416
913,Crooks-Labadie,69 Killdeer Trail,Brasilia - DF,2021-04-08,2021-06-25,357,452018109733
914,Murray-Kutch,21686 Erie Junction,Rio de Janeiro - RJ,2021-04-08,2022-01-07,68,727485574820
915,"Howell, Anderson and Kreiger",24 Di Loreto Place,Rio de Janeiro - RJ,2021-04-08,2021-05-12,176,806283015590
916,Kessler and Sons,615 Fairview Pass,Brasilia - DF,2021-04-09,2022-04-28,774,846392480676
917,Howell LLC,8623 Express Terrace,São Paulo - SP,2021-04-09,2021-06-08,513,562568788459
918,Vandervort-Quitzon,51407 Meadow Vale Park,Brasilia - DF,2021-04-09,2021-06-26,343,323004891624
919,Schowalter Group,97 Kennedy Alley,Porto Alegre - RS,2021-04-09,2021-10-06,757,201957491408
920,Nikolaus-Becker,5 Londonderry Point,Florianópolis - SC,2021-04-10,2022-07-23,665,185880829538
921,Lubowitz and Sons,18 Novick Crossing,Brasilia - DF,2021-04-10,2022-06-03,350,580501124497
922,Schowalter LLC,59 Green Ridge Circle,Rio de Janeiro - RJ,2021-04-10,2022-12-21,579,846317871661
923,Boyer Group,03 Derek Center,Fortaleza - CE,2021-04-10,2022-01-10,353,485885171794
924,Reilly-Maggio,5 Hoard Center,Fortaleza - CE,2021-04-10,2021-07-04,272,784313996561
925,"Mante, Skiles and Stanton",02327 Crowley Plaza,Fortaleza - CE,2021-04-11,2021-08-18,764,828091365743
926,Pfeffer-Wuckert,982 Vernon Place,Porto Alegre - RS,2021-04-11,2021-07-13,253,161934509984
927,Nienow Group,9 Iowa Pass,Santos - SP,2021-04-12,2021-10-30,155,429682411654
928,Hartmann Group,441 Banding Crossing,Rio de Janeiro - RJ,2021-04-12,2021-05-21,637,892338927234
929,Olson-Quigley,51 Daystar Drive,Porto Alegre - RS,2021-04-12,2021-08-13,88,423776933539
930,"Bergnaum, Abshire and Haley",1402 Lotheville Road,Rio de Janeiro - RJ,2021-04-13,2022-07-01,437,317808422399
931,Macejkovic-Hansen,13 Garrison Court,Florianópolis - SC,2021-04-13,2021-05-16,215,807160251827
932,Considine-Hagenes,176 Briar Crest Court,Fortaleza - CE,2021-04-13,2021-07-21,298,377471722840
933,Fay-Bailey,5051 Crowley Road,São Paulo - SP,2021-04-13,2021-10-14,691,230205361742
934,Wintheiser LLC,26 Lakewood Plaza,São Paulo - SP,2021-04-13,2021-05-26,467,623872687027
935,"Willms, Goldner and Goldner",75 Bartelt Way,Brasilia - DF,2021-04-14,2022-01-08,376,359237095619
936,Bednar LLC,456 Grim Road,Brasilia - DF,2021-04-14,2022-01-07,199,751937120095
937,Purdy LLC,253 Grasskamp Park,São Paulo - SP,2021-04-14,2021-08-14,47,692214652675
938,Fadel-Kassulke,89 Bunker Hill Lane,Porto Alegre - RS,2021-04-14,2022-01-19,635,567430584389
939,Blanda-Von,65 Colorado Street,São Paulo - SP,2021-04-14,2021-06-16,350,150562590743
940,"Barton, Kassulke and Weissnat",5111 Larry Terrace,Rio de Janeiro - RJ,2021-04-15,2022-12-11,266,467808446009
941,Cormier-Block,6 Algoma Hill,Fortaleza - CE,2021-04-15,2021-09-14,287,436105277191
942,Durgan-Lehner,037 Vera Center,Brasilia - DF,2021-04-15,2021-10-17,611,219910843234
943,"Cartwright, Mosciski and Jacobi",2502 Burning Wood Junction,Brasilia - DF,2021-04-15,2021-11-07,577,566163220627
944,Kautzer Inc,0 Southridge Hill,Brasilia - DF,2021-04-15,2021-11-16,493,150700226272
945,Schimmel and Sons,55 Dwight Avenue,Rio de Janeiro - RJ,2021-04-15,2021-07-21,526,466032724048
946,Friesen-Leuschke,3 Ohio Drive,Rio de Janeiro - RJ,2021-04-15,2021-08-11,243,676885112655
947,"Hyatt, Krajcik and Cassin",1811 Glacier Hill Alley,Santos - SP,2021-04-16,2022-07-02,728,841907491870
948,"Senger, O'Hara and Ondricka",42417 International Place,Brasilia - DF,2021-04-16,2021-05-23,493,437549821109
949,"Harris, Koss and Stark",311 Rieder Street,São Paulo - SP,2021-04-16,2021-12-24,224,890723342908
950,Aufderhar-Gleichner,51 Forest Run Court,Brasilia - DF,2021-04-16,2021-06-12,572,630365326193
951,"Pfannerstill, Rempel and Rowe",715 Buell Pass,Fortaleza - CE,2021-04-16,2021-12-03,140,728040087838
952,"Ullrich, Weissnat and Luettgen",1619 Linden Alley,Porto Alegre - RS,2021-04-16,2021-08-21,708,790434788485
953,Casper LLC,5 Warrior Hill,Porto Alegre - RS,2021-04-17,2021-10-02,598,781354925247
954,Brown-Ledner,737 Hovde Alley,Santos - SP,2021-04-17,2021-08-08,94,570335231342
955,"Brown, Kozey and Adams",468 Burrows Way,Brasilia - DF,2021-04-17,2022-01-28,274,496954741057
956,Dickinson Inc,84 Express Avenue,Brasilia - DF,2021-04-17,2021-09-14,734,160069266759
957,Hessel Inc,7840 Washington Lane,São Paulo - SP,2021-04-18,2023-01-26,695,844242743228
958,"Hamill, Legros and Connelly",99691 Rieder Parkway,Brasilia - DF,2021-04-18,2021-10-16,537,565818463046
959,Denesik-Kuhlman,5 Morning Road,Santos - SP,2021-04-18,2021-05-26,622,618250804952
960,Bauch-Carter,4 Fuller Street,Brasilia - DF,2021-04-18,2021-10-21,370,562534034053
961,"Greenholt, Wisozk and Maggio",3 Bartillon Trail,São Paulo - SP,2021-04-18,2021-08-27,765,819772150542
962,"Rippin, Rosenbaum and Muller",9 Ilene Lane,Florianópolis - SC,2021-04-19,2021-10-07,551,755915167306
963,"Bruen, Turner and Braun",3 Golf View Road,Rio de Janeiro - RJ,2021-04-19,2021-06-18,748,425860070307
964,"Osinski, Frami and Hackett",75601 Meadow Ridge Road,Rio de Janeiro - RJ,2021-04-19,2022-02-02,40,583858552624
965,"O'Conner, Schowalter and Sipes",5 Truax Trail,Florianópolis - SC,2021-04-20,2021-10-09,757,283433710003
966,Hessel Inc,56 Swallow Center,Fortaleza - CE,2021-04-20,2021-06-21,62,844242743228
967,"Hamill, Hamill and Jacobi",32 Esch Lane,Fortaleza - CE,2021-04-20,2021-09-30,262,717869726619
968,Durgan and Sons,2729 Evergreen Road,Brasilia - DF,2021-04-20,2022-01-08,156,447886618914
